"chr","pos","Name","regression_coef"
"chr4",37719393,"cg20153274",-0.15083
"chr12",27174428,"cg12621279",-0.15083
"chr7",37715529,"cg23404319",0.15083
"chr17",33391738,"cg15690822",0.1508
"chr12",90234041,"cg02352252",0.15068
"chr17",58309224,"cg26869211",-0.15066
"chr6",136607722,"cg08115149",0.15062
"chr5",156886147,"cg11888085",0.1506
"chr2",177189676,"cg26326264",0.1506
"chr11",34448491,"cg17681474",0.15059
"chr2",43411533,"cg21931317",-0.15053
"chr1",1602481,"cg19382808",-0.15051
"chr7",36256016,"cg22450197",0.15047
"chr3",170907373,"cg16275238",-0.15045
"chr6",33235658,"cg25491601",-0.15042
"chr17",75180760,"cg03290827",0.1504
"chr8",99625311,"cg15462959",0.15032
"chr1",220543397,"cg06213763",0.15029
"chr6",168257835,"cg00686132",-0.15028
"chr2",197002226,"cg22907426",0.15026
"chr12",121100923,"cg17677968",0.15019
"chr19",34842652,"cg20073327",0.15014
"chr12",27025721,"cg24684972",-0.15012
"chr2",149933673,"cg27310647",-0.1499
"chr2",47714346,"cg15946524",-0.14988
"chr7",90255458,"cg10067021",-0.14983
"chr8",55066317,"cg13602461",0.14974
"chr17",1436624,"cg08686850",0.14962
"chr9",82416645,"cg09720404",-0.14961
"chr6",43639843,"cg08844697",-0.14952
"chr6",101846797,"cg13080565",-0.14938
"chr16",57537548,"cg20103968",-0.14936
"chr4",995849,"cg01572696",0.14936
"chr1",156616855,"cg25773262",0.1493
"chr19",39889222,"cg03301498",-0.14921
"chr10",62488009,"cg21429687",-0.14916
"chr16",3565549,"cg07491116",0.1491
"chr16",69430710,"cg08917944",-0.14908
"chr16",9160649,"cg01543974",-0.14904
"chr17",1881333,"cg14769786",0.14901
"chr6",1770669,"cg13528873",-0.149
"chr15",81322176,"cg05480258",0.1489
"chr3",65392340,"cg09167201",0.14887
"chr6",6738485,"cg18641453",0.14885
"chr7",25703841,"cg23417171",0.14877
"chr17",33817217,"cg03677056",-0.14877
"chr18",52490607,"cg26010546",0.14872
"chr8",19540479,"cg11155735",-0.14872
"chr17",18854417,"cg10281450",0.14869
"chr11",35303841,"cg27345516",0.14869
"chr17",43221220,"cg27395066",0.14868
"chr8",122823862,"cg10131026",-0.14866
"chr6",6932112,"cg14062102",0.14862
"chr9",215944,"cg04498816",0.14859
"chr1",42321408,"cg16786843",-0.14846
"chr8",130307191,"cg06076518",0.14834
"chr8",37119428,"cg12931554",0.14831
"chr7",111921228,"cg00889790",-0.14827
"chr16",21637932,"cg23437374",0.14822
"chr1",153348911,"cg02813121",-0.14822
"chr10",22972299,"cg06974428",0.1482
"chr6",107431650,"cg07483683",0.14798
"chr10",27112649,"cg05645211",0.14796
"chr6",1201056,"cg00197993",-0.14796
"chr16",33355024,"cg03423138",-0.14793
"chr20",10456057,"cg22758988",0.14792
"chr5",88121200,"cg14784845",-0.14788
"chr1",236563070,"cg15086439",0.14786
"chr1",59094608,"cg21064457",0.14784
"chr9",127114588,"cg08960917",0.14777
"chr1",231944969,"cg02530879",-0.14776
"chr6",71121859,"cg03090436",-0.14775
"chr12",132407477,"cg10524161",0.14768
"chr9",35644696,"cg02475699",-0.14747
"chr17",46656690,"cg02132714",-0.14745
"chr12",124207645,"cg11475890",-0.14744
"chr3",55650172,"cg12029753",0.14741
"chr5",7879420,"cg01776207",-0.14741
"chr3",48733742,"cg21982919",-0.1473
"chr12",94676369,"cg13946949",0.147
"chr1",205509139,"cg07440867",-0.14698
"chr19",44009353,"cg17121205",-0.14698
"chr15",63773096,"cg02645985",0.14692
"chr12",50514093,"cg04241835",0.14691
"chr1",211689904,"cg01373806",0.1469
"chr6",49825816,"cg21947916",-0.14685
"chr4",8193123,"cg04177251",0.14678
"chr10",124181965,"cg02556345",0.14676
"chr3",64065295,"cg04397876",0.14667
"chr19",30443329,"cg19301689",0.14667
"chr11",61478402,"cg12363249",-0.14659
"chr2",24731957,"cg04373423",0.14655
"chr1",85557733,"cg04186268",0.14654
"chr8",145106299,"cg17698295",0.14647
"chr9",75200681,"cg22154765",-0.14647
"chr7",66204797,"cg18884741",-0.14629
"chr18",33431306,"cg17515072",-0.14625
"chr5",2744422,"cg19049964",-0.14623
"chr3",119500059,"cg05181799",0.14602
"chr9",135755669,"cg13869648",-0.14602
"chr2",197124825,"cg24601404",0.14598
"chr7",589215,"cg22247495",-0.14594
"chr2",219187432,"cg15100426",-0.14594
"chr3",31709941,"cg16759488",0.14589
"chr3",37804282,"cg15872437",-0.14582
"chr2",27432830,"cg03606774",-0.14557
"chr22",20019674,"cg23095729",0.14557
"chr20",3057581,"cg15642438",0.14557
"chr3",43252944,"cg15593370",0.14553
"chr12",11887650,"cg24257119",0.14544
"chr11",45758333,"cg23390360",-0.14543
"chr16",14256552,"cg09216046",-0.1452
"chr13",74173527,"cg12742820",-0.14518
"chr4",120008530,"cg22657048",0.14516
"chr2",70154518,"cg23317319",-0.14513
"chr1",17944807,"cg22005304",-0.14508
"chr2",213793434,"cg26561438",0.14506
"chr2",67939758,"cg14046302",0.14486
"chr17",8414418,"cg26999053",0.14485
"chr17",74443080,"cg08837215",0.14481
"chr3",14609820,"cg15998496",0.14479
"chr7",127526253,"cg13969327",-0.14479
"chr4",9900525,"cg03559773",-0.14479
"chr8",134240429,"cg23638358",0.14464
"chr16",70748549,"cg10751470",-0.1446
"chr2",206548171,"cg01154445",-0.1446
"chr5",118795025,"cg08069460",0.14457
"chr5",107292846,"cg12480892",0.14456
"chr5",50700633,"cg21026976",-0.14455
"chr9",33220422,"cg09370193",0.14448
"chr6",47130754,"cg10724255",0.14446
"chr4",145955982,"cg03590545",-0.14432
"chr2",114588499,"cg03783904",-0.14431
"chr17",41473426,"cg24275855",-0.1443
"chr7",5536984,"cg02355304",-0.14427
"chr11",65670135,"cg05155450",-0.14427
"chr7",73586995,"cg19783077",-0.14424
"chr11",46016312,"cg13770461",0.14423
"chr12",52743185,"cg06960395",0.14422
"chr6",39242053,"cg26253826",-0.14421
"chr16",81528974,"cg04851702",-0.14417
"chr10",76582315,"cg04764812",-0.14411
"chr8",41517810,"cg03311185",-0.14404
"chr2",171570003,"cg02235249",0.14393
"chr20",36339624,"cg16915477",0.14392
"chr9",95379262,"cg02392830",-0.14387
"chr1",33842640,"cg10685138",0.14384
"chr20",15780599,"cg00023003",-0.14384
"chr1",54082767,"cg24845466",0.14382
"chr22",22215962,"cg00560428",0.14381
"chr1",151810904,"cg04296699",0.14371
"chr17",36581126,"cg27051262",0.14361
"chr6",80580285,"cg03200747",0.1436
"chr10",135278976,"cg17796960",0.14359
"chr7",127911367,"cg20245362",-0.14355
"chr10",33271317,"cg17492413",0.14353
"chr6",6725495,"cg04943129",-0.14352
"chr9",123155868,"cg26767392",-0.14348
"chr17",9368690,"cg14160751",0.14343
"chr6",117862101,"cg06746371",0.14336
"chr6",35642470,"cg06409316",-0.14333
"chr1",7913067,"cg21419617",-0.14316
"chr11",113184038,"cg19739266",0.14314
"chr11",110019733,"cg25042436",-0.14311
"chr2",73944364,"cg22814081",0.14302
"chr11",79104769,"cg18222192",0.14301
"chr6",76322352,"cg16544318",0.14295
"chr2",26459588,"cg20225678",-0.14294
"chr22",30169714,"cg01734512",-0.14292
"chr19",49715516,"cg05730537",-0.14291
"chr4",59081902,"cg01994243",0.14289
"chr1",109914235,"cg09131339",-0.14289
"chr3",15450998,"cg04945422",0.14285
"chr5",140778424,"cg24172509",-0.14285
"chr21",31934366,"cg16917506",0.14277
"chr10",127262761,"cg13713728",-0.14275
"chr5",95177821,"cg04114966",-0.14252
"chr1",205770639,"cg23365389",-0.14245
"chr1",152196106,"cg26020982",0.1424
"chr13",95989469,"cg26929044",-0.14237
"chr19",49339397,"cg24725522",0.14233
"chr14",50830872,"cg25813953",-0.14233
"chr11",121122067,"cg10469801",-0.1423
"chr10",3151576,"cg06187344",-0.14228
"chr2",220852916,"cg26484395",-0.14205
"chr11",2790418,"cg23750514",-0.14201
"chr2",11842015,"cg13936518",-0.14183
"chr11",46366840,"cg13247398",0.14179
"chr18",19250506,"cg20352179",-0.14168
"chr20",10739234,"cg27169611",-0.14167
"chr10",73358422,"cg22345137",-0.14161
"chr3",123512792,"cg12825324",0.14152
"chr3",173464335,"cg11127124",-0.1415
"chr1",3659644,"cg19903298",-0.14136
"chr16",12523448,"cg14797136",0.14131
"chr3",183208857,"cg02939781",0.14131
"chr2",220309687,"cg12102631",-0.14128
"chr15",90951110,"cg24457980",-0.14123
"chr2",37593113,"cg13696898",-0.1412
"chr7",45019461,"cg23407476",0.14119
"chr11",94278603,"cg18023065",-0.14119
"chr5",140535469,"cg04056384",-0.14095
"chr12",91959316,"cg18054755",0.14094
"chr19",3398810,"cg15658793",0.14087
"chr2",20277536,"cg08610801",0.14081
"chr3",31589124,"cg25708738",0.14073
"chr15",40802888,"cg26228859",-0.14061
"chr6",2962545,"cg09080894",-0.1406
"chr17",57515308,"cg06983430",0.14057
"chr1",152974279,"cg13444842",0.14056
"chr11",2706745,"cg15861694",0.14054
"chr12",65072101,"cg05055371",0.14052
"chr16",30124293,"cg03297731",0.1405
"chr19",33552965,"cg10362211",0.14041
"chr11",95831949,"cg13687826",-0.14035
"chr8",58201111,"cg16131272",-0.14032
"chr12",52800445,"cg14835097",0.14032
"chr20",33479235,"cg27255456",-0.1402
"chr18",72419155,"cg14135939",0.14009
"chr6",33329991,"cg06713796",0.14005
"chr7",73938543,"cg26307355",0.14005
"chr7",1932056,"cg03902220",0.14001
"chr10",11856506,"cg18107573",-0.14001
"chr15",42129640,"cg17699857",0.13997
"chr2",239478365,"cg21861151",-0.13989
"chr2",166696342,"cg24853616",-0.13988
"chr13",50696070,"cg01752594",-0.13984
"chr1",232714530,"cg02077729",0.13981
"chr16",57636195,"cg06394677",0.13978
"chr1",164744436,"cg08609318",0.13973
"chr17",2622975,"cg22724946",0.1397
"chr17",36666462,"cg07118262",0.1397
"chr9",115915314,"cg03903882",0.13969
"chr3",52407344,"cg06637517",0.13965
"chr15",81588069,"cg06304817",-0.13961
"chr6",149469744,"cg19081636",-0.13956
"chr15",93611950,"cg25298833",0.13955
"chr11",78945787,"cg14366055",0.13955
"chr19",2321113,"cg07474816",-0.13954
"chr6",110089850,"cg02324772",-0.13953
"chr3",177066294,"cg00554341",0.1395
"chr16",68982687,"cg13513399",0.13946
"chr16",2048436,"cg16766459",-0.13943
"chr17",79906056,"cg24931187",-0.13939
"chr5",96414836,"cg10846368",0.13938
"chr10",73103395,"cg11480762",0.13938
"chr21",18962890,"cg24265600",0.13937
"chr10",115241025,"cg02813126",-0.13935
"chr2",135150189,"cg06530131",0.13927
"chr2",219181531,"cg08621957",-0.13924
"chr2",112376721,"cg07021587",0.13924
"chr3",3171664,"cg11485152",0.13918
"chr5",176445507,"cg16309518",-0.13917
"chr4",14867316,"cg23069057",0.13916
"chr7",86730025,"cg24377975",-0.13909
"chr2",8388617,"cg17771674",-0.13909
"chr2",102517122,"cg03151645",0.13909
"chr21",34774627,"cg17356733",-0.13907
"chr3",43221815,"cg11594770",0.13895
"chr9",77575609,"cg14115807",0.13885
"chr12",96919986,"cg23034961",0.1388
"chr2",103127467,"cg03288304",0.13874
"chr18",29004152,"cg20150125",-0.13865
"chr22",37944926,"cg08323918",0.13865
"chr12",108130791,"cg03240700",-0.13857
"chr19",49340489,"cg04777726",0.13856
"chr12",112791021,"cg11106255",0.13855
"chr3",189840500,"cg09311266",0.13848
"chr7",156987896,"cg05219109",-0.13843
"chr13",34217700,"cg07229452",0.1384
"chr10",111693923,"cg24838825",-0.1384
"chr17",504991,"cg13576175",-0.13834
"chr12",68728277,"cg06429437",-0.13831
"chr2",37668301,"cg24201808",0.13824
"chr2",160932101,"cg22807895",0.13823
"chr11",10621492,"cg07054804",-0.13819
"chr10",126103031,"cg21747782",-0.13811
"chr1",227175077,"cg13689831",0.13797
"chr1",23799120,"cg11376292",-0.13795
"chr17",18056388,"cg19411980",0.13784
"chr3",149167801,"cg21158745",0.13783
"chr6",32042797,"cg23623681",0.13779
"chr16",8806531,"cg01881182",0.13775
"chr11",71869665,"cg04367709",0.13773
"chr3",157845784,"cg18319770",0.13765
"chr3",13694484,"cg12467226",-0.13765
"chr6",134513473,"cg08698685",0.13762
"chr19",16230553,"cg11940839",-0.13754
"chr1",28718715,"cg10604836",-0.13738
"chr3",192571646,"cg00770773",0.13736
"chr21",47631744,"cg05822049",-0.13731
"chr17",42415794,"cg21832826",0.1373
"chr11",82754038,"cg26152433",0.13729
"chr5",58481799,"cg01274107",-0.13727
"chr11",35374336,"cg14746605",0.13725
"chr9",74490922,"cg18354596",-0.13722
"chr19",35992979,"cg12665632",0.13717
"chr6",45233226,"cg25757332",0.13714
"chr3",156391394,"cg11886469",0.13714
"chr5",168052135,"cg22083820",-0.13696
"chr20",43680594,"cg18929835",-0.13691
"chr14",34509245,"cg00767808",0.13682
"chr6",32407784,"cg20724257",-0.13668
"chr8",69755519,"cg24723647",0.13666
"chr15",65337510,"cg13796110",0.13661
"chr1",207207342,"cg26308552",-0.13653
"chr19",44575832,"cg14674574",0.13651
"chr2",149933534,"cg00539049",-0.13642
"chr17",78652628,"cg04953735",0.13635
"chr20",44574422,"cg17986701",-0.13635
"chr13",39771708,"cg07620038",-0.13634
"chr15",61466710,"cg14721087",-0.13633
"chr14",65546647,"cg15311201",-0.1363
"chr3",138663400,"cg23637494",0.13629
"chr16",70679178,"cg08281777",-0.1362
"chr21",43352889,"cg26093746",-0.1362
"chr14",77292733,"cg08675585",-0.13618
"chr20",33222426,"cg12629186",0.13617
"chr2",62935551,"cg10906669",-0.13611
"chr2",27201220,"cg13818121",-0.1361
"chr12",883340,"cg07579732",-0.13607
"chr6",122391246,"cg06696596",-0.13607
"chr12",47629311,"cg06582512",0.13606
"chr1",232122826,"cg16493540",-0.136
"chr11",43780652,"cg21077321",0.136
"chr15",51658703,"cg26308382",-0.13586
"chr8",672007,"cg18002480",0.13578
"chr17",47967818,"cg02430039",0.13575
"chr6",157856291,"cg17233767",-0.13571
"chr6",168766302,"cg23946844",0.13558
"chr6",107143281,"cg15984636",0.13556
"chr14",60555474,"cg23574243",0.13552
"chr2",27577220,"cg12330118",-0.13546
"chr1",14113172,"cg01411652",-0.13538
"chr6",158441038,"cg10488100",-0.13536
"chr4",147432669,"cg16950212",0.13532
"chr1",67600822,"cg09433222",-0.13522
"chr5",176559563,"cg18121224",0.13519
"chr3",151451270,"cg04394119",0.13519
"chr5",53967333,"cg23788468",-0.13518
"chr6",148065684,"cg16375880",-0.13512
"chr6",158036438,"cg27110842",0.13507
"chr20",3992787,"cg04721719",0.13499
"chr8",71064794,"cg05997357",0.13493
"chr11",94278912,"cg10283505",0.1349
"chr1",48036890,"cg10177725",0.13483
"chr11",94988642,"cg20062681",0.1348
"chr1",16094733,"cg11558522",0.13478
"chr8",99179021,"cg22623649",-0.13477
"chr11",47531942,"cg07868088",0.13474
"chr13",22025367,"cg22412298",-0.13471
"chr1",118150813,"cg23098693",-0.13463
"chr16",10634015,"cg21587402",-0.13455
"chr8",126396741,"cg12637784",0.13455
"chr1",232287117,"cg13856212",-0.13454
"chr21",43967148,"cg19539503",-0.13452
"chr6",108937952,"cg20400810",-0.13449
"chr21",43111998,"cg13910377",-0.13445
"chr1",67603174,"cg02341559",0.13441
"chrX",69479839,"cg11085564",0.1344
"chr4",78485295,"cg01241065",-0.13438
"chr18",46682098,"cg18396093",-0.13415
"chr4",142150838,"cg04612523",0.13398
"chr1",56522674,"cg20624927",0.13394
"chr2",89125621,"cg04073511",-0.13393
"chr17",39682769,"cg04607951",-0.1339
"chr11",74859223,"cg08576928",-0.1339
"chr2",20864068,"cg00538381",0.13384
"chr6",140371491,"cg14541119",0.1338
"chr19",42186380,"cg09921507",0.13379
"chr1",206623757,"cg10271916",-0.13378
"chr22",39347411,"cg03000465",0.13376
"chr1",211782638,"cg19287157",0.13376
"chr16",88893573,"cg03381007",-0.13374
"chr2",27517400,"cg01649433",0.13357
"chr2",160953217,"cg03769162",-0.13348
"chrX",48673603,"cg15039438",0.13346
"chr2",169928251,"cg06836480",0.13344
"chr8",61821442,"cg02962508",0.13341
"chr16",81476731,"cg17868815",-0.13341
"chr6",17930180,"cg17067696",0.13337
"chr8",86987139,"cg27388185",-0.13334
"chr17",12934084,"cg01439945",0.13332
"chr20",46369576,"cg09589462",0.13327
"chr6",13724501,"cg24355340",-0.13319
"chr5",145419314,"cg26532768",0.13312
"chr12",89986573,"cg18542050",-0.13306
"chr13",99684462,"cg20671006",0.13306
"chr2",15475606,"cg05936684",-0.13301
"chr3",141146295,"cg19825988",0.1329
"chr7",2850839,"cg10432654",-0.13283
"chr14",68159684,"cg16808893",0.13281
"chr16",84808531,"cg05697766",-0.13276
"chr2",113551357,"cg14899252",-0.13275
"chr2",224499970,"cg12912263",0.13273
"chr1",68909191,"cg01888323",0.13269
"chr15",64634880,"cg06129556",0.13264
"chr6",111572447,"cg00562095",0.13255
"chr12",57493076,"cg07320357",0.13251
"chr1",235561099,"cg04950059",0.1325
"chr17",49023499,"cg13074555",0.13248
"chr19",51898727,"cg01990133",-0.13247
"chr1",94346105,"cg09472495",-0.13243
"chr4",11516583,"cg02794519",0.13239
"chr16",69224412,"cg08061943",0.13233
"chr5",157161686,"cg15142353",0.13231
"chr7",7217884,"cg11230744",-0.1323
"chr1",184712389,"cg00444906",0.13222
"chr10",88121386,"cg10954484",-0.13219
"chr3",72430211,"cg08086385",0.13216
"chr18",46100119,"cg09967727",0.13215
"chr2",30505165,"cg07078732",0.13211
"chr1",6581796,"cg00821618",-0.13209
"chr3",190304942,"cg15318374",0.13203
"chr4",715950,"cg16767590",-0.132
"chr5",133071401,"cg21990668",-0.13199
"chr16",87272191,"cg20883850",0.13197
"chr10",131661571,"cg06899515",0.13191
"chr11",34931650,"cg02182648",-0.13189
"chr3",188625895,"cg25582541",-0.13174
"chr6",13466950,"cg08913930",-0.13174
"chr13",52188823,"cg04673701",-0.13169
"chr1",159047034,"cg07195224",-0.13163
"chr13",97886891,"cg10104948",0.1315
"chr1",227072161,"cg00042489",-0.1314
"chr4",186893075,"cg01101326",0.13138
"chr21",45773294,"cg08191854",-0.13119
"chr6",152239860,"cg09414638",0.13115
"chr2",172014013,"cg01970904",0.13112
"chr5",158647548,"cg04184571",-0.13108
"chr11",73618548,"cg21449673",0.13104
"chr11",8797532,"cg21932137",0.13093
"chr15",69339228,"cg20189274",-0.13092
"chr5",179758238,"cg14463239",-0.13086
"chr2",184037145,"cg20480779",-0.13083
"chr1",204977637,"cg18350877",0.13083
"chr5",43771905,"cg06375497",0.1308
"chr12",52800423,"cg13696887",-0.13073
"chr3",153149012,"cg12419527",-0.1307
"chr1",226100473,"cg04204558",-0.13066
"chr5",90167401,"cg14293975",0.13065
"chr6",73575334,"cg02654372",-0.1306
"chrX",66799850,"cg19723705",0.13055
"chr13",41162477,"cg27073896",0.13054
"chr20",48385709,"cg19705285",-0.13051
"chr11",72250108,"cg17423227",-0.13046
"chr8",117010731,"cg08823785",0.13044
"chr17",69029804,"cg17291648",0.13043
"chr10",134598352,"cg11174855",-0.13033
"chr4",15693171,"cg23353374",-0.13029
"chr4",140508663,"cg10729505",-0.13027
"chr1",14870226,"cg17785202",0.13025
"chr9",123997121,"cg15782683",-0.13019
"chr11",46720913,"cg05433460",-0.13019
"chr10",30746830,"cg26455711",0.13016
"chr11",129800292,"cg16131203",-0.13012
"chr19",55593580,"cg12020396",-0.13007
"chr14",36331008,"cg22088474",-0.12999
"chr1",12213514,"cg13239848",-0.12997
"chr6",33151008,"cg07457375",0.12997
"chr11",64106819,"cg07458180",0.1299
"chr16",14465280,"cg17733722",0.12988
"chr4",79339096,"cg14905320",-0.12988
"chr21",16563484,"cg26139552",-0.12981
"chr14",24780734,"cg06823034",0.12977
"chr5",175833412,"cg15231624",0.12971
"chr22",20958171,"cg15990158",-0.12965
"chr22",32992401,"cg26750233",-0.12965
"chr11",47511192,"cg18696849",-0.12964
"chr6",30298765,"cg02957290",-0.12954
"chr2",201647197,"cg07548077",-0.12953
"chr1",109709715,"cg05552956",-0.12951
"chr11",119040926,"cg18732867",-0.1295
"chr20",52683990,"cg07205807",-0.1295
"chr4",140965746,"cg07172882",-0.12948
"chr10",80611070,"cg18798111",0.12944
"chr1",235096719,"cg18638408",-0.12944
"chr18",22147011,"cg10914744",0.12944
"chr2",219991744,"cg00183457",-0.1294
"chr9",134505355,"cg13329054",-0.1294
"chr16",2089851,"cg01815912",0.12939
"chr6",80045271,"cg25190019",-0.12932
"chr2",225388487,"cg20305095",0.12932
"chr19",19639596,"cg15839431",-0.12931
"chr15",39933963,"cg14608778",0.12926
"chr19",7927974,"cg02961707",-0.12923
"chr16",78959113,"cg06405602",0.1292
"chr4",113300821,"cg10888461",0.12919
"chr2",129508082,"cg00860726",0.12917
"chr6",30885008,"cg16036022",-0.1291
"chr2",233788622,"cg15242048",0.12909
"chr7",97863297,"cg27162863",0.12907
"chr1",151262748,"cg03233728",0.12896
"chr7",148409847,"cg18697121",0.12888
"chr17",61476846,"cg00424064",0.12885
"chr5",149907580,"cg24884265",-0.12885
"chr2",26401820,"cg04944784",0.12881
"chr1",205216985,"cg21728107",0.12881
"chr2",153224541,"cg02321472",-0.1288
"chr3",189887312,"cg06401035",-0.12879
"chr7",87844809,"cg02670082",-0.12875
"chr17",79631453,"cg10205488",-0.12875
"chr15",90749351,"cg23470684",-0.1287
"chr8",82464471,"cg17043875",0.1287
"chr2",232213012,"cg27051231",-0.12862
"chr1",110261127,"cg22402988",0.12861
"chr11",87905295,"cg23502204",0.12855
"chr4",146800380,"cg25799589",-0.12853
"chr10",114502318,"cg03281572",0.12842
"chr2",102608233,"cg21603144",0.12838
"chr16",14403405,"cg16484042",-0.12834
"chr12",53811068,"cg01508869",0.12833
"chr4",77138082,"cg16234490",0.12831
"chr10",71899320,"cg16786268",-0.12829
"chr6",168528104,"cg11115312",-0.12827
"chr9",21788866,"cg15802405",-0.12824
"chr5",67261881,"cg03769206",-0.1282
"chr19",18385409,"cg24782497",-0.12813
"chr10",50977130,"cg03202564",-0.12806
"chr17",57700024,"cg12037593",0.12799
"chr1",156232301,"cg10199857",-0.12799
"chr17",53713264,"cg27142354",-0.12798
"chr10",126344130,"cg13510318",0.12798
"chr1",110976749,"cg27230882",-0.12793
"chr3",194658891,"cg13157590",-0.12787
"chr11",126177731,"cg24559261",-0.12786
"chr1",111743330,"cg23184711",-0.12783
"chr8",22269194,"cg00136184",-0.12779
"chr3",147127662,"cg04738965",-0.12771
"chr4",41613561,"cg08464915",-0.1277
"chr5",111708167,"cg20122929",-0.12765
"chr5",140529819,"cg24120669",0.12764
"chr1",15550792,"cg01511844",-0.12763
"chr3",128949317,"cg23304099",-0.12757
"chr6",88298474,"cg00551398",0.12747
"chr1",178061945,"cg00112588",0.12737
"chr16",2262129,"cg20963339",-0.12736
"chr8",26297774,"cg23735851",-0.12735
"chr1",43765944,"cg26195652",-0.12729
"chr2",224967286,"cg01997884",-0.12727
"chr12",15752531,"cg24629020",-0.12725
"chr8",134143217,"cg26691387",-0.12723
"chr4",169752455,"cg04606771",0.12717
"chr5",99886768,"cg21515785",0.12716
"chr5",80121879,"cg14609862",-0.12713
"chr12",92886824,"cg12150538",-0.12706
"chr7",112051075,"cg26944656",-0.12703
"chr8",96280555,"cg00219816",-0.12703
"chr20",62574095,"cg07507493",-0.127
"chr3",10237341,"cg26060132",0.12698
"chr17",17054863,"cg03022644",-0.12697
"chr12",121688733,"cg12197980",-0.12696
"chr8",141519270,"cg04091927",0.12693
"chr6",43768086,"cg02255986",0.12689
"chr19",28780425,"cg22936208",-0.12687
"chr11",33683591,"cg14213783",-0.12678
"chr10",30014179,"cg01752308",0.12672
"chr8",23399610,"cg10155002",-0.12671
"chr1",205233226,"cg23474461",-0.1267
"chr3",50379923,"cg08625808",0.12667
"chr8",133909820,"cg16905429",-0.12667
"chr19",17627156,"cg07986158",0.12663
"chr17",65217376,"cg15831967",-0.12659
"chr2",201045458,"cg23287111",0.12657
"chr15",33942171,"cg22612790",0.12655
"chr2",62375254,"cg03544445",-0.12653
"chr6",164366085,"cg02770672",-0.12653
"chr6",76383833,"cg06981636",0.12653
"chr8",22429187,"cg16982781",-0.12644
"chr16",4983989,"cg26589069",-0.12641
"chr20",43911560,"cg20538524",-0.12639
"chr8",66639590,"cg23934546",-0.12638
"chr9",100854531,"cg25858039",0.12637
"chr19",58512299,"cg09830338",0.12635
"chr6",21856464,"cg07847812",0.12635
"chr4",79139681,"cg27292367",-0.12614
"chr4",166251189,"cg05119988",0.12603
"chr1",222695659,"cg10333908",-0.12602
"chr21",35169809,"cg17535831",0.12594
"chr10",93387144,"cg12569007",0.12586
"chr1",233813693,"cg05528018",0.12586
"chr19",5838999,"cg00579402",0.12569
"chr8",110990365,"cg17164016",-0.12568
"chr1",172917851,"cg18234224",0.12566
"chr10",125650718,"cg06557421",0.12564
"chr17",76134099,"cg01125010",0.12562
"chr5",36619356,"cg00233948",-0.1256
"chr9",126091888,"cg06603775",-0.12559
"chr1",222011091,"cg14328612",-0.12559
"chr13",49084280,"cg10942476",0.12553
"chr11",128283273,"cg11940376",-0.12547
"chr13",40745362,"cg03689992",-0.12547
"chr1",120327345,"cg26776547",0.12545
"chr2",37267004,"cg16087015",-0.12537
"chr2",157186321,"cg14811105",-0.12536
"chr19",47347693,"cg27592532",0.12531
"chr1",120204880,"cg01717524",0.12529
"chr10",119151639,"cg10170334",0.12528
"chr1",42950191,"cg11019891",0.12514
"chr10",45316955,"cg20722025",0.12513
"chr8",122132335,"cg15198489",-0.1251
"chr11",36447917,"cg11529849",0.12501
"chr15",35285241,"cg11273157",-0.125
"chr22",45772737,"cg18544538",0.12499
"chr17",69918132,"cg02177653",-0.12497
"chr17",79503859,"cg02090762",-0.12494
"chr5",140030758,"cg19875535",-0.12494
"chr11",65359521,"cg09709600",-0.12493
"chr7",156267149,"cg01020356",0.12482
"chr12",3260174,"cg14753631",-0.12482
"chr1",15106332,"cg08411567",0.12464
"chr10",5811667,"cg06477145",-0.12463
"chr5",142445010,"cg05908015",-0.12455
"chr3",71527933,"cg06439554",0.12454
"chr11",61530895,"cg09221267",0.12447
"chr6",3414680,"cg13415859",0.12443
"chr19",19596444,"cg14115749",0.1244
"chr20",52867499,"cg09155371",0.1243
"chr20",43194753,"cg00622242",-0.12425
"chr5",90524312,"cg05124953",-0.12406
"chr1",162297422,"cg04165922",0.12406
"chr22",46977565,"cg03278861",-0.12404
"chr1",52041391,"cg00509120",0.12402
"chrX",147616470,"cg16500087",0.12393
"chr7",39673368,"cg26895507",-0.12383
"chr11",19256053,"cg07081939",-0.12379
"chr18",45713014,"cg03973226",0.12378
"chr7",6330297,"cg08128421",0.12367
"chr10",49719908,"cg17017270",-0.12355
"chr2",86397937,"cg06825457",0.12347
"chr7",955700,"cg17667773",-0.1234
"chr6",88466676,"cg26208115",0.12339
"chrX",22079821,"cg09164899",0.12338
"chr3",125363632,"cg17286661",-0.12336
"chr8",101450167,"cg10285548",0.12332
"chrX",69480213,"cg26545968",0.12314
"chr2",192250764,"cg18730266",-0.12312
"chr17",2452863,"cg06669989",0.12302
"chr12",119621775,"cg06617642",-0.12297
"chr5",14721026,"cg18190824",-0.12296
"chr5",55828740,"cg17335387",-0.12293
"chr6",147223397,"cg14428870",0.12285
"chr4",7211606,"cg11435917",-0.12274
"chr8",57472110,"cg20264482",0.12272
"chr22",47331872,"cg10934001",0.1227
"chr18",46841159,"cg08416150",0.12268
"chr16",21622716,"cg04183654",0.12264
"chr3",143416998,"cg15932663",-0.12264
"chr1",233762250,"cg18847929",-0.1225
"chr3",15334633,"cg24908186",0.12247
"chr6",33242016,"cg10399946",-0.12245
